,,Dc,District,Region,,,
1,PPET003 Kilema Investments Limited,PPET003 Kilema Investments Limited,Morogoro,Central,,,
2,PTAK001 Takawedo Investment Co Ltd,PTAK001 Takawedo Investment Co Ltd,Dodoma,Central,,,
3,PLUC000 Lucas Urio,PLUC000 Lucas Urio,Dar es Salaam,Central,,,
4,PONJ005 Onju General Enterp Co Ltd,PONJ005 Onju General Enterp Co Ltd,Dar es Salaam,Central,,,
5,URUW000 Ruwaichi Gen. Enterprises Ltd,URUW000 Ruwaichi Gen. Enterprises Ltd,Dar es Salaam,Central,,,
6,UGOM001 Gomael Co. Ltd,UGOM001 Gomael Co. Ltd,Dar es Salaam,Central,,,
7,Herera Supplies,Herera Supplies,Dar es Salaam,Central,,,
8,PSDT005 Sdt  Enterprises,PSDT005 Sdt Enterprises,Dar es Salaam,Central,,,
9,Jimson Gervas,Jimson Gervas,Dar es Salaam,Central,,,
10,PWAZ000 Wazo Road Haulage Ltd,PWAZ000 Wazo Road Haulage Ltd,Dar es Salaam,Central,,,
11,UVSR000 Vsr Co Ltd,UVSR000 Vsr Co Ltd,Dar es Salaam,Central,,,
12,UMRI000 Mrina,UMRI000 Mrina,Dar es Salaam,Central,,,
13,UJOJ001 Jojono Enterprises,UJOJ001 Jojono Enterprises,Dar es Salaam,Central,,,
14,UPAT001 Patrisons Enterprises Co Ltd,UPAT001 Patrisons Enterprises Co Ltd,Dar es Salaam,Central,,,
15,PPLA000 Planet Commercial Limited,PPLA000 Planet Commercial Limited,Dar es Salaam,Central,,,
16,PSTE009 Jasau Company Ltd,PSTE009 Jasau Company Ltd,Dar es Salaam,Central,,,
17,PDOR004 Doreen Ephron Ngowi,PDOR004 Doreen Ephron Ngowi,Dar es Salaam,Central,,,
18,PYAK000 Yakobo Mwita Nyamonge,PYAK000 Yakobo Mwita Nyamonge,Dar es Salaam,Central,,,
19,UDIA001 Diana Rose Buddy Bruno - Boko,UDIA001 Diana Rose Buddy Bruno - Boko,Dar es Salaam,Central,,,
20,PONE001 One Stop Company,PONE001 One Stop Company,Zanzibar,Central,,,
21,PKAC000 Kachema Beverages,PKAC000 Kachema Beverages,Pwani,Central,,,
22,UMAS000 Massawe Grocery,UMAS000 Massawe Grocery,Pwani,Central,,,
23,URES000 Respy F Kavishe- Mlandizi     ,URES000 Respy F Kavishe- Mlandizi,Mlandizi,Central,,,
24,UMIS001 Mister Auto Centre            ,UMIS001 Mister Auto Centre,kibaha,Central,,,
