NO.,POC ID,POC NAME,REGION,LOCATION,BDR NAME ,,,,
1,0011n000011B3xPAAS,LA PRINCE PUB,NORTH WEST,SHINYANGA,NURU MOTIBA,, ,,
2,0011n000015cdGmAAK,LUBAGA  INN BAR,NORTH WEST,SHINYANGA,NURU MOTIBA,,,,
3,0010Y00001YYojPQAT,THOBIAS GROCERY,NORTH WEST,OLD SHINYANGA,GEORGE KILUMA,,,,
4,0010Y00001YYnLHQA1,SENGEREMA BAR,NORTH WEST,MHUNZE-KISHAPU,GEORGE KILUMA,,,,
5,0010Y00001YYbzIQAT,LULU PUB,NORTH WEST,MHUNZE-KISHAPU,GEORGE KILUMA,,,,
6,001oY00001Vy3ozQAB,CLUB CHILER,NORTH WEST,KAHAMA,SHAMIMU HASSAN,,,,
7,001n00001kFMEZAA4,KANIZ PUB(CDT BAR),NORTH WEST,KAHAMA,SHAMIMU HASSAN,,,,
8,0010Y0000VxzxcQAB,MASABO PICNIC CENTER,NORTH WEST,KAHAMA,SHAMIMU HASSAN,,,,
9,0011n00001koHGsAAM,BIJAMPOLA BAR,NORTH WEST,KAHAMA,GEORGE BALTAZE,,,,
10,0011n00001ko56AAE,UREMBO PUB,NORTH WEST,KAHAMA,GEORGE BALTAZE,,,,
11,0011n00001koH4SAAU,TUNDA LA GOLD,NORTH WEST,KAHAMA,GEORGE BALTAZE,,,,
12,0010Y00001YYiSyQAL,NEW BAKURUTU,NORTH WEST,KAKOLA,HAPPYNES ALUTE,,,,
13,0010Y00001YYWvQQAX,HALF LONDON PUB,NORTH WEST,KAKOLA,HAPPYNES ALUTE,,,,
14,0010Y00001YYWWEQA5,GRANDVILLA PUB,NORTH WEST,NZEGA,WEREMA MAGIGE,,,,
15,0010Y00001YYjaKQAT,PASUA BAR,NORTH WEST,NZEGA,WEREMA MAGIGE,,,,
16,0010Y00001YYhHfQAL,MS COMPLEX BAR,NORTH WEST,MWANZUGI,GIVEN GODONS,,,,
17,0010Y00001YYZ2EQAX,KEKUNDU BAR,NORTH WEST,MWANZUGI,GIVEN GODONS,,,,
18,0011n00001km9S6AAI,OXYGEN LOUNGE,NORTH WEST,TABORA,SHAMILY CHARLES,,,,
19,0011n00001km9N1AAI,MWAFRICA BAR,NORTH WEST,TABORA,SHAMILY CHARLES,,,,
20,0011n00001km8IWAAQ,KILIMANJARO BAR,NORTH WEST,TABORA,JOSE MWAKALEBELA,,,,
21,0010Y00001YYVQeQAP,EZAGAM COMPLEX,NORTH WEST,URAMBO,JOSE MWAKALEBELA,,,,
22,0010Y00001YYUg2QAH,deluxe bar,NORTH WEST,MPANDA,ASUKILE KIPAMILA,,,,
23,0010Y00001YYptzQAD,white girrafe club,NORTH WEST,MPANDA,ASUKILE KIPAMILA,,,,
24,0010Y00001YYnHoQAL,seengeti grocery,NORTH WEST,MPANDA,ASUKILE KIPAMILA,,,,
25,0010Y00001YYdGtQAL,MALULU BAR,NORTH WEST,KAKOLA,HAPPYNES ALUTE,,,,
26,0010Y00001QK6DsQAL,NIKO SIMIYU BAR,NORTH WEST,SENGEREMA,EVELYN  ,,,,
27,0010Y00001VThC5QAL,RAHA LEO BAR,NORTH WEST,MWANZA,HELLEN MUTABIHIRWA ,,,,
28,0010Y00001QK513QAD,BARIADI BAR,NORTH WEST,MISUNGWI ,HELLEN MUTABIHIRWA ,,,,
29,0010Y00001QK54RQAT,HEKA HEKA BAR ,NORTH WEST,MWANZA,MUTABIHIRWA ,,,,
30,0010Y00001WmkulQAB,FREE PARK EXECUTIVE LODGE ,NORTH WEST,MWANZA,HELLEN MUTABIHIRWA ,,,,
31,0010Y00001QK6ItQAL,LAS VEGAS BAR,NORTH WEST,MWANZA,PRISCS NDOSI,,,,
32,0010Y00001QK6HkQAL,NEW GOLDEN BAR AND LODGE,NORTH WEST,MWANZA,PRISCS NDOSI,,,,
33,0011n00001lAzZgAAK,NEW GOLDEN ROCK PUB,NORTH WEST,MWANZA,EDITH NTANGEKI,,,,
34,0010Y00001QK6GhQAL,DV8 BAR,NORTH WEST,MWANZA,EDITH NTANGEKI,,,,
35,0010Y00001QK6GVQA1,DV8 PARK,NORTH WEST,MWANZA,EDITH NTANGEKI,,,,
36,0010Y00001QK5E3QAL,MAMA DEO SHOP,NORTH WEST,MWANZA,EDITH NTANGEKI,,,,
37,0010Y00001QK6lwQAL,DIAMOND PUB,NORTH WEST,MWANZA,HAPPYNESS NEHU,,,,
